duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,intrusion
-2,udp,domain_u,SF,-1405,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,177,0.0001968863521847,-0.000149151799406,4.079217788706597e-05,-4.642105094547354e-05,0.3048695711166872,0.0253461186013926,0.0002167116332744,254,237,0.917430306692628,-0.0031143764481091,0.0026982516500881,0.0009801404818557,8.025661896952783e-05,0.001299805370102,-0.0001637620078845,1.3579402299867329e-05,1
1,udp,domain_u,SF,495,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,244,-0.0005280788371583,0.000361814844663,7.271725857393078e-05,-4.562064084509332e-05,1.000489761898846,-0.0002692145728558,-0.0003929603961176,254,238,0.9519136131331224,0.0165372765206329,-0.0003359018049028,0.0002973057497865,-0.0013219561584493,-0.0050839444080903,0.0005495025739249,-0.0002840876252133,0
0,tcp,http,SF,273,-349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,-0.0002687491871552,0.0001819133458827,-7.615380160729634e-05,-7.787739336425587e-05,1.00010275522235,0.0002169227529142,0.0003924791218053,28,253,0.9909953378964732,0.0020031798062167,-0.0006011154106327,0.0005738101778074,0.0025868353250755,-0.0017757301747088,0.0007182911239864,0.0014721139870155,1
-1,icmp,http,S0,778,-601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,1.000120374573947,1.0003331085071638,-3.1892913972823476e-05,-5.6527445368869865e-05,0.4335165062778765,0.0917550005802496,0.0005318965419469,257,256,0.2645195130497051,0.0115860843209683,0.0061308895068253,0.0013903394202063,1.0001766352347528,1.002851632804102,0.000805637753387,-0.0007821389026264,0
1,tcp,private,RSTO,358,-62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,1,-0.0003537007222613,-0.0001218886758898,0.0003950576409539,-1.2478311247296043e-05,-0.0425706473843237,0.0483835023306258,-0.0005993255020718,255,-1,-0.0050708290650309,0.0851274425678964,-0.0012217344428398,0.0005588953393632,0.0015542363518641,0.0002638652850846,0.8666840085676075,1.0012755256555308,0
0,tcp,http,SF,-539,675,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0.0003472925686172,0.000277497816601,-6.143907910416719e-05,-0.0001815520963938,1.0006625991463274,-0.0002628276125579,0.0025507982569924,255,258,0.9981613189924292,0.0027938921671705,0.0059187141226511,0.0003649164220165,-0.0006440383550242,0.0026971697966614,-8.400278659655195e-05,-0.0011294404873049,1
-1,tcp,http,SF,-858,2535,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,15,-8.543139292405606e-05,-7.719760558156357e-05,-4.289188734893857e-05,0.0001381730492022,1.0000145723303016,-0.000129363593203,0.0002061541506182,255,256,0.9987413337726154,0.0005139472817715,-0.0019086707781081,7.367298467667713e-05,-0.0007302276281377,-0.0042160779369921,0.0005688845787246,-0.0005228315796481,0
0,icmp,private,SF,-305,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.0002145841585881,-0.0002642980930947,6.038960409990886e-05,1.2291485763099454e-05,0.9995324114152584,-0.0004105583500967,-0.0001985634753869,4,4,0.0321884548608513,0.7374416445560257,1.002820209279833,-0.0006445633722862,0.0021138185531661,0.0007911706610658,-0.0003125038622267,-0.0014074010565029,0
0,tcp,http,SF,208,1835,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,15,0.0002976255073563,0.0001765030601494,-4.9289233308365095e-05,1.382905622890115e-05,0.998606600561172,2.4503699966522128e-05,3.3855448889591446e-05,255,253,0.9984887223632444,0.0008393730288562,0.0039214270005083,0.0004340772988563,0.0004564246031362,-0.0016116471926132,0.0005780606845568,0.0002115976713056,1
-1,icmp,private,REJ,-541,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0.0003984823839645,-8.992947494280133e-05,1.0002873751574688,0.9990617350866914,1.000338178802393,0.0005397481848434,-0.0004078635096268,7,-4,0.023172606798249,1.0264912428159656,0.9991266052707196,0.0003238788260116,0.002395446849535,0.0019154418435299,-0.0003767946879318,0.9902416286425172,0
